"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"c4.8xlarge","m4.large","45694","1915016","34068","15826","0","9943","0","5159","0","0","0","5159","298688","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:36:14","2023-10-05T17:36:30","true"
"m4.large","c5d.9xlarge","28846","1847910","30118","14188","0","10202","0","5159","0","0","0","5159","589391","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:18:34","2023-10-05T17:18:49","true"
"h1.2xlarge","m5zn.6xlarge","56629","1559835","32681","13966","0","9946","0","5159","0","0","0","5159","283235","10","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:20:28","2023-10-05T17:20:45","true"
"m5a.2xlarge","h1.2xlarge","41429","1344336","28875","13174","0","9955","0","5159","0","0","0","5159","584816","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:11:12","2023-10-05T17:11:27","true"
"m5.large","c5d.9xlarge","49883","1662865","26931","11971","0","10202","0","5160","0","0","0","5160","305835","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:58:26","2023-10-05T17:58:42","true"
"h1.8xlarge","c5.large","6352","550250","28179","14313","0","9929","0","5115","0","0","0","5115","664684","4","2023-10-05T17:08:32","2023-10-05T17:08:49","2023-10-05T17:38:07","2023-10-05T17:38:23","true"
"m5a.large","c5a.24xlarge","47598","1803955","32699","13708","0","10202","0","5160","0","0","0","5160","319907","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:09:25","2023-10-05T17:09:39","true"
"h1.16xlarge","m5zn.6xlarge","24116","1038931","31373","14327","0","10200","0","5160","0","0","0","5160","212024","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:40:06","2023-10-05T17:40:28","true"
"h1.16xlarge","m4.16xlarge","24116","1038931","31373","14327","0","10200","0","5160","0","0","0","5160","444112","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:40:07","2023-10-05T17:40:27","true"
"c5a.24xlarge","m5.large","35613","353648","23097","8370","0","9946","0","5158","0","0","0","5158","408487","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:32:29","2023-10-05T17:32:46","true"
"r4.8xlarge","h1.8xlarge","42712","1522701","31397","14778","0","9674","0","5117","0","0","0","5117","366307","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:47:18","2023-10-05T17:47:41","true"
"m4.16xlarge","m5zn.6xlarge","48396","1491999","35589","15130","0","9943","0","5159","0","0","0","5159","498073","10","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:44:45","2023-10-05T17:45:07","true"
"c5d.9xlarge","r4.8xlarge","64171","1170187","24136","10978","0","9676","0","5116","0","0","0","5116","502644","27","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:02:26","2023-10-05T18:02:43","false"
"r4.large","m5a.8xlarge","65339","2072689","37715","14665","0","9943","0","5158","0","0","0","5158","622305","5","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:24:24","2023-10-05T17:24:41","false"
"c5.large","m5n.large","57322","683758","22496","10807","0","9946","0","5159","0","0","0","5159","351823","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:54:26","2023-10-05T17:54:42","true"
"m5zn.6xlarge","m5n.large","1179","330512","25027","9771","0","10199","0","5158","0","0","0","5158","438160","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:04:25","2023-10-05T18:04:41","true"
"h1.8xlarge","r4.16xlarge","6352","550250","28179","14313","0","9929","0","5115","0","0","0","5115","659397","7","2023-10-05T17:08:32","2023-10-05T17:08:49","2023-10-05T17:38:07","2023-10-05T17:38:23","true"
"c5.9xlarge","c4.8xlarge","54362","444561","27142","11200","0","10200","0","5158","0","0","0","5158","581360","6","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:06:23","2023-10-05T18:06:39","false"
"c5d.9xlarge","m4.16xlarge","64171","1170187","24136","10978","0","9676","0","5116","0","0","0","5116","960098","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:02:26","2023-10-05T18:02:42","false"
"r4.large","c4.8xlarge","65339","2072689","37715","14665","0","9943","0","5158","0","0","0","5158","1002307","6","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:24:24","2023-10-05T17:24:41","false"
"c6i.16xlarge","c5.large","2115","341212","20720","7737","0","10011","0","5158","0","0","0","5158","840295","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:00:26","2023-10-05T18:00:43","true"
"r4.16xlarge","c5.large","20739","1337587","31939","14302","0","9946","0","5160","0","0","0","5160","177344","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:49:47","2023-10-05T17:50:27","true"
"h1.2xlarge","c6a.large","56629","1559835","32681","13966","0","9946","0","5159","0","0","0","5159","495474","2","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:20:29","2023-10-05T17:20:46","true"
"c5d.9xlarge","c6a.24xlarge","64171","1170187","24136","10978","0","9676","0","5116","0","0","0","5116","287247","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:02:26","2023-10-05T18:02:42","false"
"x1e.xlarge","r4.16xlarge","45544","1176408","32571","16232","0","9946","0","5159","0","0","0","5159","877929","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:22:24","2023-10-05T17:22:40","true"
"c5d.9xlarge","m5.large","64171","1170187","24136","10978","0","9676","0","5116","0","0","0","5116","288284","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:02:26","2023-10-05T18:02:42","true"
"h1.8xlarge","m4.16xlarge","6352","550250","28179","14313","0","9929","0","5115","0","0","0","5115","914094","7","2023-10-05T17:08:32","2023-10-05T17:08:49","2023-10-05T17:38:06","2023-10-05T17:38:23","true"
"i3.large","x1e.xlarge","21678","280650","25278","11923","0","8721","0","4095","0","0","0","4095","3835742","4","2023-10-05T18:45:14","2023-10-05T18:45:30","2023-10-05T18:46:11","2023-10-05T18:46:24","true"
"m5n.large","m4.large","37679","316001","26147","11756","0","9975","0","5159","0","0","0","5159","388846","7","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:56:26","2023-10-05T17:56:43","false"
"m4.16xlarge","m5a.large","48396","1491999","35589","15130","0","9943","0","5159","0","0","0","5159","239521","6","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:44:44","2023-10-05T17:45:07","false"
"m5a.8xlarge","h1.16xlarge","63880","1304130","27656","13378","0","10007","0","5159","0","0","0","5159","701485","7","2023-10-05T17:08:32","2023-10-05T17:08:49","2023-10-05T17:13:00","2023-10-05T17:13:15","true"
"c5a.large","r4.8xlarge","25125","321210","21304","8512","0","9737","0","5116","0","0","0","5116","452748","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:14:49","2023-10-05T17:15:03","true"
"c6a.24xlarge","c6i.16xlarge","14355","328085","18841","6700","0","10202","0","5160","0","0","0","5160","387573","2","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:34:22","2023-10-05T17:34:38","true"
"m5a.large","r4.large","47598","1803955","32699","13708","0","10202","0","5160","0","0","0","5160","808762","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:09:25","2023-10-05T17:09:40","true"
"c6i.16xlarge","c4.8xlarge","2115","341212","20720","7737","0","10011","0","5158","0","0","0","5158","367343","6","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:00:26","2023-10-05T18:00:42","false"
"c4.8xlarge","c6a.24xlarge","45694","1915016","34068","15826","0","9943","0","5159","0","0","0","5159","317305","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:36:14","2023-10-05T17:36:30","true"
"c5.large","c6i.16xlarge","57322","683758","22496","10807","0","9946","0","5159","0","0","0","5159","421375","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:54:26","2023-10-05T17:54:43","true"
"h1.2xlarge","c6a.24xlarge","56629","1559835","32681","13966","0","9946","0","5159","0","0","0","5159","229735","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:20:28","2023-10-05T17:20:45","true"
"h1.16xlarge","m5a.8xlarge","24116","1038931","31373","14327","0","10200","0","5160","0","0","0","5160","546762","6","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:40:06","2023-10-05T17:40:27","true"
"x1e.8xlarge","r4.16xlarge","41848","340106","31495","16286","0","10199","0","5159","0","0","0","5159","315978","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:42:16","2023-10-05T17:42:43","true"
"m4.16xlarge","m5.large","48396","1491999","35589","15130","0","9943","0","5159","0","0","0","5159","293270","4","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:44:45","2023-10-05T17:45:07","true"
"c6i.large","m5zn.6xlarge","73424","330356","19992","8437","0","10209","0","5159","0","0","0","5159","799054","11","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:52:26","2023-10-05T17:52:42","true"
"c5a.large","c5a.24xlarge","25125","321210","21304","8512","0","9737","0","5116","0","0","0","5116","307732","3","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:14:49","2023-10-05T17:15:03","true"
"c6a.large","c4.8xlarge","71097","310944","17769","6470","0","9942","0","5159","0","0","0","5159","508880","6","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T17:16:40","2023-10-05T17:16:55","true"
"m5zn.6xlarge","i3.large","1179","330512","25027","9771","0","10199","0","5158","0","0","0","5158","540538","8","2023-10-05T17:08:31","2023-10-05T17:08:49","2023-10-05T18:04:25","2023-10-05T18:04:41","false"
