"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"h1.16xlarge","m5zn.6xlarge","6329","10189267","52285","30294","0","687136","0","10780","0","0","0","10780","969945","11","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:32:17","2023-05-31T00:32:17","true"
"t2.nano","c5a.24xlarge","127","4431422","192124","173215","0","33916","0","10183","0","0","0","10183","1203191","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:07:26","2023-05-31T00:07:26","true"
"c5a.large","h1.8xlarge","185","336244","32409","16769","0","44286","0","10444","0","0","0","10444","1438424","7","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:04:09","2023-05-31T00:04:09","true"
"c5a.large","c6a.large","185","336244","32409","16769","0","44286","0","10444","0","0","0","10444","1029813","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:04:11","2023-05-31T00:04:11","true"
"t3.nano","m5n.large","241","9310316","194953","176348","0","44652","0","10474","0","0","0","10474","854297","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:55:17","2023-05-31T00:55:17","true"
"m5a.large","t3.micro","280","8646779","37885","24794","0","44292","0","10445","0","0","0","10445","1846904","5","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-30T23:58:27","2023-05-30T23:58:27","true"
"m5a.large","c6a.24xlarge","280","8646779","37885","24794","0","44292","0","10445","0","0","0","10445","1877315","2","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-30T23:58:26","2023-05-30T23:58:26","true"
"c5a.24xlarge","r4.16xlarge","7418","877443","35244","18119","0","687395","0","10782","0","0","0","10782","1407832","7","2023-05-30T23:55:53","2023-05-30T23:56:19","2023-05-31T00:15:34","2023-05-31T00:15:34","true"
"r4.large","m5n.large","377","9252425","53228","36906","0","44638","0","10444","0","0","0","10444","1059290","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:12:57","2023-05-31T00:12:57","true"
"h1.16xlarge","m5.large","6329","10189267","52285","30294","0","687136","0","10780","0","0","0","10780","913600","5","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:32:26","2023-05-31T00:32:26","true"
"c6i.16xlarge","m5.large","2872","2689728","35103","17015","0","679278","0","11243","0","0","0","11243","2274135","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:01:53","2023-05-31T01:01:53","true"
"t2.nano","x1e.xlarge","127","4431422","192124","173215","0","33916","0","10183","0","0","0","10183","1302162","8","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:07:26","2023-05-31T00:07:26","true"
"t3a.nano","c5.large","287","9257813","183169","169077","0","52242","0","10444","0","0","0","10444","816824","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-30T23:57:09","2023-05-30T23:57:09","true"
"c6a.large","c5.9xlarge","153","9107436","23149","12617","0","52244","0","10445","0","0","0","10445","1232754","4","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-31T00:05:52","2023-05-31T00:05:52","true"
"m5n.large","t2.nano","243","9257346","34664","22923","0","44655","0","10474","0","0","0","10474","636320","7","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:57:55","2023-05-31T00:57:55","false"
"x1e.xlarge","t3a.nano","587","9564888","44547","30297","0","80771","0","10468","0","0","0","10468","1727759","5","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:11:36","2023-05-31T00:11:36","false"
"c4.8xlarge","c5d.9xlarge","3074","9818745","48793","23115","0","400386","0","10624","0","0","0","10624","618518","4","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-31T00:25:43","2023-05-31T00:25:43","true"
"m5a.2xlarge","c5a.24xlarge","1085","9494526","37384","25027","0","113864","0","10521","0","0","0","10521","1143411","4","2023-05-30T23:55:53","2023-05-30T23:56:21","2023-05-30T23:59:45","2023-05-30T23:59:45","true"
"m4.16xlarge","c6a.24xlarge","7030","800133","51554","30627","0","695327","0","10784","0","0","0","10784","670879","4","2023-06-04T20:49:25","2023-06-04T20:49:40","2023-06-04T20:50:25","2023-06-04T20:50:33","false"
"h1.2xlarge","c5d.9xlarge","1001","9655452","42091","28764","0","113630","0","10520","0","0","0","10520","809567","10","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:09:59","2023-05-31T00:09:59","true"
"c6a.24xlarge","t3.micro","5183","909096","33319","12935","0","687140","0","10782","0","0","0","10782","904061","4","2023-05-30T23:55:53","2023-05-30T23:56:21","2023-05-31T00:20:47","2023-05-31T00:20:47","true"
"m5a.2xlarge","x1e.8xlarge","1085","9494526","37384","25027","0","113864","0","10521","0","0","0","10521","1282369","7","2023-05-30T23:55:53","2023-05-30T23:56:21","2023-05-30T23:59:44","2023-05-30T23:59:44","true"
"x1e.xlarge","r4.8xlarge","587","9564888","44547","30297","0","80771","0","10468","0","0","0","10468","974912","28","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:11:35","2023-05-31T00:11:35","true"
"m5.large","r4.8xlarge","258","9582508","35588","23011","0","44653","0","10476","0","0","0","10476","732382","7","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:00:29","2023-05-31T01:00:29","false"
"c5a.24xlarge","m5n.large","7418","877443","35244","18119","0","687395","0","10782","0","0","0","10782","2600229","5","2023-05-30T23:55:53","2023-05-30T23:56:19","2023-05-31T00:15:43","2023-05-31T00:15:43","true"
"c6i.16xlarge","h1.16xlarge","2677","880699","34781","16818","0","679240","0","11230","0","0","0","11230","641261","7","2023-06-04T21:30:30","2023-06-04T21:30:46","2023-06-04T21:31:33","2023-06-04T21:31:43","false"
"t3.micro","x1e.8xlarge","281","9353529","41165","25871","0","44714","0","10503","0","0","0","10503","699278","8","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:59:13","2023-05-31T00:59:13","false"
"c4.8xlarge","c5.9xlarge","3074","9818745","48793","23115","0","400386","0","10624","0","0","0","10624","1046375","3","2023-05-30T23:55:54","2023-05-30T23:56:20","2023-05-31T00:25:43","2023-05-31T00:25:43","true"
"t3.nano","c5.9xlarge","241","9310316","194953","176348","0","44652","0","10474","0","0","0","10474","641758","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:55:16","2023-05-31T00:55:16","true"
"c5d.9xlarge","r4.large","1866","681064","41231","23302","0","409227","0","11096","0","0","0","11096","1857370","10","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:05:39","2023-05-31T01:05:39","false"
"t2.nano","i3.large","127","4431422","192124","173215","0","33916","0","10183","0","0","0","10183","1163671","7","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:07:26","2023-05-31T00:07:26","true"
"x1e.8xlarge","c6a.large","3496","9679651","47117","31428","0","359421","0","10618","0","0","0","10618","513083","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:37:22","2023-05-31T00:37:22","false"
"h1.8xlarge","c6i.large","3282","9798875","48390","31364","0","359414","0","10620","0","0","0","10620","948930","3","2023-05-30T23:55:53","2023-05-30T23:56:21","2023-05-31T00:29:16","2023-05-31T00:29:16","true"
"c5d.9xlarge","r4.16xlarge","1866","681064","41231","23302","0","409227","0","11096","0","0","0","11096","772346","8","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:05:39","2023-05-31T01:05:39","false"
"c6i.large","m5a.2xlarge","176","9537708","28157","17520","0","44655","0","10475","0","0","0","10475","886474","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:53:46","2023-05-31T00:53:46","false"
"m5n.large","t3.micro","243","9257346","34664","22923","0","44655","0","10474","0","0","0","10474","1582431","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:57:55","2023-05-31T00:57:55","true"
"c6i.16xlarge","t3.nano","2872","2689728","35103","17015","0","679278","0","11243","0","0","0","11243","2122513","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:01:53","2023-05-31T01:01:53","true"
"c5.large","m4.16xlarge","222","9463918","33439","21568","0","44653","0","10474","0","0","0","10474","1194212","7","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:56:33","2023-05-31T00:56:33","false"
"c6i.16xlarge","t3a.nano","2872","2689728","35103","17015","0","679278","0","11243","0","0","0","11243","2349846","6","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:01:44","2023-05-31T01:01:44","false"
"t3a.nano","c6a.24xlarge","287","9257813","183169","169077","0","52242","0","10444","0","0","0","10444","751110","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-30T23:57:09","2023-05-30T23:57:09","true"
"c5.9xlarge","r4.large","2290","6633672","40173","23290","0","392849","0","11092","0","0","0","11092","707386","10","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:10:40","2023-05-31T01:10:40","false"
"m4.large","m4.16xlarge","358","9327126","39530","27450","0","44303","0","10444","0","0","0","10444","2216928","16","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:08:41","2023-05-31T00:08:41","true"
"c5.9xlarge","t3.micro","2290","6633672","40173","23290","0","392849","0","11092","0","0","0","11092","1155465","5","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T01:10:47","2023-05-31T01:10:47","true"
"m4.large","c5a.24xlarge","358","9327126","39530","27450","0","44303","0","10444","0","0","0","10444","1581321","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:08:40","2023-05-31T00:08:40","true"
"c5a.24xlarge","m5a.large","7418","877443","35244","18119","0","687395","0","10782","0","0","0","10782","708145","5","2023-05-30T23:55:53","2023-05-30T23:56:19","2023-05-31T00:15:42","2023-05-31T00:15:42","true"
"t3a.nano","c5d.9xlarge","287","9257813","183169","169077","0","52242","0","10444","0","0","0","10444","678867","3","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-30T23:57:09","2023-05-30T23:57:09","true"
"h1.8xlarge","r4.8xlarge","3282","9798875","48390","31364","0","359414","0","10620","0","0","0","10620","788755","7","2023-05-30T23:55:53","2023-05-30T23:56:21","2023-05-31T00:29:12","2023-05-31T00:29:12","true"
"m5a.8xlarge","x1e.xlarge","4421","628646","45877","26297","0","359668","0","10621","0","0","0","10621","725397","8","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:01:21","2023-05-31T00:01:21","true"
"m4.large","m5n.large","358","9327126","39530","27450","0","44303","0","10444","0","0","0","10444","471022","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:08:41","2023-05-31T00:08:41","true"
"x1e.8xlarge","m4.16xlarge","3281","585842","48659","32980","0","359422","0","10621","0","0","0","10621","817023","8","2023-06-04T20:39:24","2023-06-04T20:39:39","2023-06-04T20:40:22","2023-06-04T20:40:28","true"
"m5n.large","c5.9xlarge","243","9257346","34664","22923","0","44655","0","10474","0","0","0","10474","1141955","4","2023-05-30T23:55:53","2023-05-30T23:56:20","2023-05-31T00:57:55","2023-05-31T00:57:55","true"
