"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success"
"m5n.large","c6i.16xlarge","193","198858906","821417","773714","0","4563489","0","261079","0","0","0","261079","56195234","7","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:18:46","2023-11-07T14:19:55","true"
"c6i.large","r4.large","127","184754507","103220376","103183567","0","4563490","0","261079","0","0","0","261079","58833677","9","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:13:01","2023-11-07T14:14:10","false"
"c6i.16xlarge","m5.large","2712","200481937","451181","397648","0","3736092","0","264563","0","0","0","264563","59271611","4","2023-11-07T13:12:27","2023-11-07T13:15:59","2023-11-07T14:27:53","2023-11-07T14:29:03","true"
"c5.large","m5a.8xlarge","72573","1022672","74624","61540","0","95731","0","30521","0","0","0","30521","2181676","9","2023-11-07T20:10:42","2023-11-07T20:10:51","2023-11-07T20:11:34","2023-11-07T20:11:49","false"
"c6i.large","i3.large","127","184754507","103220376","103183567","0","4563490","0","261079","0","0","0","261079","58040005","6","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:13:01","2023-11-07T14:14:10","false"
"h1.8xlarge","c6a.24xlarge","22123","899589","90267","75707","0","91497","0","28543","0","0","0","28543","6626274","6","2023-11-07T18:22:47","2023-11-07T18:22:56","2023-11-07T18:23:41","2023-11-07T18:24:10","true"
"c6i.16xlarge","c5.9xlarge","68700","1337017","64414","52881","0","259595","0","35372","0","0","0","35372","2393248","10","2023-11-07T20:41:46","2023-11-07T20:41:55","2023-11-07T20:42:37","2023-11-07T20:42:53","true"
"m4.large","m5a.large","300","198984592","848981","784102","0","4563337","0","261029","0","0","0","261029","60171693","8","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T13:25:48","2023-11-07T13:27:00","true"
"c5.large","r4.8xlarge","72573","1022672","74624","61540","0","95731","0","30521","0","0","0","30521","2486418","6","2023-11-07T20:10:42","2023-11-07T20:10:51","2023-11-07T20:11:34","2023-11-07T20:11:49","false"
"h1.8xlarge","c5.9xlarge","22123","899589","90267","75707","0","91497","0","28543","0","0","0","28543","6828865","5","2023-11-07T18:22:47","2023-11-07T18:22:56","2023-11-07T18:23:40","2023-11-07T18:24:10","true"
"c6i.large","m5a.8xlarge","24385","1326970","67840","52707","0","259596","0","34047","0","0","0","34047","2687471","8","2023-11-07T19:59:56","2023-11-07T20:00:06","2023-11-07T20:00:50","2023-11-07T20:01:05","false"
"m5a.8xlarge","h1.2xlarge","228","491920","116527","100541","0","91485","0","25929","0","0","0","25929","4755594","7","2023-11-07T15:54:29","2023-11-07T15:54:38","2023-11-07T15:55:22","2023-11-07T15:55:37","true"
"m5.large","c6a.large","188","198833401","818198","771479","0","4563490","0","261080","0","0","0","261080","53352121","5","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:21:39","2023-11-07T14:26:09","false"
"m5a.large","r4.16xlarge","27415","655210","97796","82157","0","79960","0","21242","0","0","0","21242","1723216","6","2023-11-07T15:31:18","2023-11-07T15:31:27","2023-11-07T15:32:13","2023-11-07T15:32:28","true"
"c6i.large","m5zn.6xlarge","127","184754507","103220376","103183567","0","4563490","0","261079","0","0","0","261079","57101106","11","2023-11-07T13:12:27","2023-11-07T13:15:58","2023-11-07T14:13:01","2023-11-07T14:14:10","true"
"m5a.2xlarge","c5.9xlarge","196","512624","115817","99860","0","91484","0","25387","0","0","0","25387","2026894","10","2023-11-07T15:42:00","2023-11-07T15:42:10","2023-11-07T15:42:54","2023-11-07T15:43:11","true"
