"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success","count1","count2"
"m4.large","x1e.xlarge","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","138558038","8","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","6","14"
"c6i.large","h1.8xlarge","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","133378554","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","false","12","12"
"c5.9xlarge","x1e.xlarge","7368","446562033","1218210","1098835","0","4386015","0","505648","0","0","0","505648","148826272","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:06:23","2023-09-19T15:10:48","false","96","96"
"c5a.24xlarge","m5.large","16924","458224522","1043556","862057","0","6274192","0","584358","0","0","0","584358","174501592","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:06:50","2023-09-19T14:10:04","true","79","87"
"m5a.2xlarge","c5d.9xlarge","3443","440108703","1339180","1227616","0","3781041","0","489901","0","0","0","489901","145171225","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:28:55","2023-09-19T13:31:36","true","39","80"
"r4.16xlarge","c5a.24xlarge","25243","23119180","1763727","1481714","0","5505147","0","528846","0","0","0","528846","74346660","3","2023-09-20T20:57:12","2023-09-20T20:57:43","2023-09-20T20:58:24","2023-09-20T21:00:01","false","27","27"
"h1.2xlarge","c6a.24xlarge","2333","418703159","1399129","1278650","0","3373986","0","472918","0","0","0","472918","141109256","3","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:50:07","2023-09-19T13:52:40","true","40","79"
"c6i.large","c6a.24xlarge","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","135009488","2","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","false","12","12"
"m5zn.6xlarge","i3.large","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","140346459","8","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:35","2023-09-20T22:08:20","false","26","26"
"c6i.large","m4.16xlarge","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","136710697","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","false","12","12"
"x1e.8xlarge","c6i.16xlarge","9389","20839327","1517884","1375321","0","4104416","0","472222","0","0","0","472222","57374469","10","2023-09-20T20:20:28","2023-09-20T20:20:56","2023-09-20T20:21:31","2023-09-20T20:22:43","true","38","101"
"x1e.8xlarge","h1.2xlarge","9389","20839327","1517884","1375321","0","4104416","0","472222","0","0","0","472222","55840876","8","2023-09-20T20:20:28","2023-09-20T20:20:56","2023-09-20T20:21:32","2023-09-20T20:22:44","true","26","46"
"m5n.large","x1e.xlarge","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","137129083","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","false","9","9"
"h1.8xlarge","r4.large","7309","443898334","1454781","1318154","0","4245754","0","493756","0","0","0","493756","143471446","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:20:36","2023-09-19T14:23:13","true","59","65"
"c6i.16xlarge","m5a.8xlarge","11288","23436950","972400","847237","0","5697357","0","545745","0","0","0","545745","169466401","5","2023-09-20T21:32:54","2023-09-20T21:33:25","2023-09-20T21:34:12","2023-09-20T21:37:29","false","32","32"
"c6i.16xlarge","m5zn.6xlarge","11288","23436950","972400","847237","0","5697357","0","545745","0","0","0","545745","172883872","10","2023-09-20T21:32:54","2023-09-20T21:33:25","2023-09-20T21:34:11","2023-09-20T21:37:29","false","32","32"
"m5a.8xlarge","c5.large","10941","443939443","1537851","1309672","0","4240092","0","493750","0","0","0","493750","145800055","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:33:20","2023-09-19T13:36:00","true","40","47"
"x1e.xlarge","c5.large","1139","420199943","1467616","1354587","0","2995544","0","455587","0","0","0","455587","135158646","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:54:18","2023-09-19T13:56:52","false","11","11"
"m5n.large","m5a.8xlarge","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","137096409","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","false","9","9"
"m5a.8xlarge","c6i.large","10941","443939443","1537851","1309672","0","4240092","0","493750","0","0","0","493750","144022577","2","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:33:20","2023-09-19T13:36:00","true","40","50"
"m5n.large","h1.16xlarge","312","419503388","204633694","204549549","0","3029016","0","467218","0","0","0","467218","136448415","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:57:24","2023-09-19T14:59:58","false","9","9"
"c6i.large","m5.large","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","136094577","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","true","13","20"
"c5a.large","h1.16xlarge","312","420354634","358157719","357961060","0","2910823","0","454355","0","0","0","454355","132066516","10","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:37:38","2023-09-19T13:40:14","true","14","22"
"c6a.large","c5d.9xlarge","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","144263924","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:52","2023-09-19T13:44:38","true","13","24"
